brand,year,model,genes
360,2018,360 MOBILE N7,2539|73|6349|2229|94|8237|2201|42|4513|1034|7109|9120|4627|8470|1624|7484|4512|11476|5229|4932|11127|6797|11717|87|57|4732|64|54|1617|5281|1585|9778|1124|1347|9055|88|1967|9130|8523|1905|4747|326|30|1125|261|8131|1342|8556|1544|1064|5068|11437|7914|5283|11159|67|1908|98|7999|2606|2187|540|8421|1232|7116|194|2525|38|2376|4555|5176|33|14|10987|7023|5282|5084|2232|1609|10|9284|161|7628|815|2375|883|74|135|4547|55|1571|11053|7029|11777|6396|56|7963|1088|2487|1343|584|4530|8877|2661|41|8224|781|6325|19|2971|4724|4951|11436
360,2018,360 MOBILE PHONE N7,2539|73|6349|2229|94|8237|2201|42|4513|7109|9120|4627|8470|1624|7484|4512|11476|5229|4932|11127|6797|11717|87|57|4732|64|54|1617|5281|1585|2740|9778|1124|1347|9055|88|1967|9130|1026|5095|8523|1905|4747|2729|326|30|1125|261|8131|1342|8556|1544|5068|11437|7914|5283|11159|67|1908|98|7999|2606|2187|1062|540|8421|1232|7116|194|2525|38|2376|4555|5176|33|14|10987|7023|5282|5084|2232|1609|10|9284|161|7628|815|2375|1067|883|74|135|4547|55|1571|11053|7029|11777|6396|56|7963|1088|2487|1343|584|4530|8877|2661|2890|41|8224|781|6325|19|2971|4724|4951|2737|11436
360,2018,360 MOBILE PHONE N7 LITE,2539|73|2229|94|5952|2201|1740|42|2480|4513|7109|9120|4627|1624|4512|6359|4932|6797|87|57|64|11132|7311|54|1617|5281|1585|2740|9778|1124|1347|9055|8250|88|1967|9130|1857|4737|1905|4747|326|30|1125|261|8131|1342|8556|11930|1544|11437|7914|5283|733|1675|67|1908|98|8257|4686|2606|2187|540|5226|8421|1232|7116|194|2525|12188|38|2376|33|2098|14|5282|5084|2232|1609|10|8195|9284|161|7628|815|2375|883|5210|4704|74|135|4547|55|1571|11777|6396|56|7963|1088|1343|584|4530|5139|2661|41|8224|781|7727|6485|19|11037|4951|4965|2737
8848,2016,8848 TITANIUM MOBILE PHONE M3,2539|73|94|11918|1642|42|4513|1034|7109|4627|1624|1269|8148|2147|5229|4932|8444|9338|87|2154|57|422|64|54|1617|5281|1585|2740|7119|1124|9055|2766|88|1967|8523|1905|4747|30|1125|1144|1270|1544|5283|67|1908|98|10670|1216|1062|1232|7116|2376|5176|33|14|614|5282|1609|10|2375|74|1225|4547|55|1571|5161|1316|56|1088|584|4530|10212|1193|41|8224|781|1219|19|8110|4930|622|2737
8848,2017,8848 TITANIUM MOBILE PHONE M4,73|94|42|4513|9341|7109|1624|2147|4932|87|2154|57|64|54|1617|1585|2766|88|1967|1026|1905|30|1342|1544|67|1908|98|1062|1232|7116|2376|33|14|1609|10|2375|74|4547|55|1571|56|1343|4530|41|19
8848,2018,8848 TITANIUM MOBILE PHONE M5,73|94|42|4513|7109|1624|4932|87|57|64|54|1617|5281|1585|2740|5249|1124|1347|88|1967|9360|1026|4737|1905|4747|30|1342|1544|67|1908|98|4686|1232|7116|2376|5176|33|14|614|7023|5084|1609|10|2375|4733|5250|9746|4704|74|1075|4547|426|55|1571|7029|3033|56|1088|5285|1343|584|3031|4530|41|781|5011|19|4951|2737
8848,2020,8848 TITANIUM MOBILE PHONE M6,2539|73|2302|94|42|1541|4989|13758|197|7109|5229|4932|13951|87|57|1608|2219|64|1630|959|54|5281|2740|968|2469|1612|2233|1124|1347|1215|88|13935|4423|1616|637|1905|2330|30|1125|1342|2603|67|1908|98|2606|2894|1232|1593|7116|13771|13274|103|2376|5176|33|2347|14|614|7023|10|2301|2375|13763|2254|883|74|55|1571|5119|7029|2225|56|1088|5285|1343|584|1533|41|1589|781|9197|105|2295|19|1301|2737
8848,2020,8848 TITANIUM MOBILE PHONE M6 PRIVATE CUSTOMIZATION,2539|73|2302|94|1049|42|1541|4989|13758|197|7109|4932|13951|87|57|1608|2219|64|1630|959|54|5281|2740|968|2469|1612|2233|1124|1347|1215|88|13935|4423|1616|637|1905|2330|30|1125|1342|2603|67|1908|98|12940|12473|2606|12889|2894|1232|1593|7116|13771|13274|103|6118|2376|33|2347|1066|14|614|7023|5084|10|2301|2375|13763|2254|883|74|1032|55|1571|5119|7029|2225|56|1088|5285|1343|584|5139|1533|41|1589|781|9197|105|2295|19|4951|1301|4965|2737
AGM,2016,AGM M2,42|13758|1624|6359|13797|1355|9249|4932|57|1617|5281|1585|1124|3049|30|1342|6004|1144|5719|2818|1544|13807|5283|1297|2187|5300|13781|38|7023|5282|1609|9709|1571|6396|56|1088|1343|7030|19
AGM,2016,AGM X1,2539|73|8879|94|12317|1740|42|4513|13758|3312|7872|7880|7109|4627|6657|1624|1269|4512|13797|4932|13370|13783|87|502|57|7899|64|9919|1617|10728|5281|1585|2740|968|1124|9055|88|1967|13452|282|13852|13374|5101|7764|1905|4747|13793|5514|30|12197|1125|1342|1144|10487|1270|1544|5283|13886|12671|67|1908|98|3221|1216|2187|2970|12889|8402|13308|1232|11991|9368|7116|13781|6118|2376|7312|33|6796|14|614|7023|5282|1609|1099|10|8671|8195|2375|7835|74|1225|4547|1571|7029|3263|1316|6396|56|1088|7567|1343|584|4530|1193|5139|41|1589|781|6503|1219|19|1349|503|7961|4965|2737
